"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Andaman and Nicobar Islands","AN",2020-04-30,"33","17","16","0","0","0","1"
"Assam","AS",2020-04-30,"42","12","29","1","4","0","0"
"Himachal Pradesh","HP",2020-04-30,"40","11","27","2","0","0","2"
"Uttarakhand","UT",2020-04-30,"55","19","36","0","0","0","0"
"Chandigarh","CH",2020-04-30,"74","56","18","0","6","0","1"
"Odisha","OR",2020-04-30,"142","102","39","1","17","0","0"
"Haryana","HR",2020-04-30,"329","99","227","3","18","0","2"
"Punjab","PB",2020-04-30,"480","359","101","20","105","1","0"
"Bihar","BR",2020-04-30,"409","323","84","2","6","0","20"
"Kerala","KL",2020-04-30,"498","111","383","4","2","0","14"
"Karnataka","KA",2020-04-30,"565","321","223","21","30","0","7"
"West Bengal","WB",2020-04-30,"758","601","124","33","33","11","5"
"Andhra Pradesh","AP",2020-04-30,"1403","1051","321","31","71","0","34"
"Tamil Nadu","TN",2020-04-30,"2323","1038","1258","27","161","0","48"
"Rajasthan","RJ",2020-04-30,"2556","1662","836","58","118","3","22"
"Total","TT",2020-04-30,"33636","23947","8595","1094","573","15","158"
"Ladakh","LA",2020-04-29,"22","5","17","0","0","0","0"
"Jharkhand","JH",2020-04-29,"107","85","19","3","0","0","0"
"Telangana","TG",2020-04-29,"1016","582","409","25","0","0","0"
"Uttar Pradesh","UP",2020-04-29,"2134","1585","510","39","0","0","0"
"Madhya Pradesh","MP",2020-04-29,"2560","1969","461","130","0","0","0"
"Delhi","DL",2020-04-29,"3439","2291","1092","56","0","0","0"
"Gujarat","GJ",2020-04-29,"4082","3358","527","197","0","0","0"
"Maharashtra","MH",2020-04-29,"9915","7890","1593","432","0","0","0"
"Chhattisgarh","CT",2020-04-28,"40","4","36","0","2","0","2"
"Jammu and Kashmir","JK",2020-04-28,"581","381","192","8","0","0","0"
"Puducherry","PY",2020-04-27,"8","3","5","0","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
