"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Puducherry","PY",2020-05-05,"9","3","6","0","0","0","0"
"Assam","AS",2020-05-05,"44","10","33","1","1","0","0"
"Uttarakhand","UT",2020-05-05,"61","21","39","1","1","0","0"
"Chandigarh","CH",2020-05-05,"115","93","21","1","13","0","0"
"Jharkhand","JH",2020-05-05,"119","89","27","3","4","0","0"
"Odisha","OR",2020-05-05,"175","114","60","1","6","0","0"
"Kerala","KL",2020-05-05,"503","37","462","4","3","0","0"
"Bihar","BR",2020-05-05,"535","397","134","4","7","0","7"
"Haryana","HR",2020-05-05,"548","286","256","6","31","0","2"
"Karnataka","KA",2020-05-05,"673","313","331","28","22","1","10"
"Jammu and Kashmir","JK",2020-05-05,"741","413","320","8","15","0","17"
"West Bengal","WB",2020-05-05,"1344","940","264","140","85","7","46"
"Punjab","PB",2020-05-05,"1451","1293","133","25","219","2","5"
"Andhra Pradesh","AP",2020-05-05,"1717","1094","589","34","67","1","65"
"Uttar Pradesh","UP",2020-05-05,"2880","1837","987","56","114","6","185"
"Madhya Pradesh","MP",2020-05-05,"3049","1873","1000","176","107","11","144"
"Rajasthan","RJ",2020-05-05,"3127","1581","1464","82","66","5","26"
"Tamil Nadu","TN",2020-05-05,"4058","2540","1485","33","508","2","76"
"Delhi","DL",2020-05-05,"5104","3572","1468","64","206","0","37"
"Gujarat","GJ",2020-05-05,"6245","4496","1381","368","441","49","186"
"Maharashtra","MH",2020-05-05,"14541","11493","2465","583","0","0","0"
"Total","TT",2020-05-05,"48350","33045","13651","1650","1916","84","806"
"Tripura","TR",2020-05-04,"29","27","2","0","0","0","0"
"Himachal Pradesh","HP",2020-05-04,"41","2","34","2","0","0","0"
"Chhattisgarh","CT",2020-05-04,"58","22","36","0","0","0","0"
"Telangana","TG",2020-05-04,"1085","471","585","29","0","0","0"
"Andaman and Nicobar Islands","AN",2020-05-03,"33","1","32","0","0","0","0"
"Ladakh","LA",2020-05-03,"42","25","17","0","0","0","0"
"Meghalaya","ML",2020-05-01,"12","1","10","1","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
