"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Chhattisgarh","CT",2020-05-04,"58","22","36","0","1","0","0"
"Himachal Pradesh","HP",2020-05-04,"41","2","34","2","1","0","0"
"Chandigarh","CH",2020-05-04,"102","80","21","1","5","0","2"
"Odisha","OR",2020-05-04,"169","108","60","1","7","0","0"
"Haryana","HR",2020-05-04,"517","257","254","6","75","1","9"
"Punjab","PB",2020-05-04,"1232","1081","128","23","130","2","11"
"Bihar","BR",2020-05-04,"528","400","124","4","11","0","0"
"Kerala","KL",2020-05-04,"500","34","462","4","0","0","61"
"Karnataka","KA",2020-05-04,"651","302","321","27","37","2","28"
"Jammu and Kashmir","JK",2020-05-04,"726","415","303","8","25","0","16"
"West Bengal","WB",2020-05-04,"1259","908","218","133","61","11","67"
"Telangana","TG",2020-05-04,"1085","471","585","29","3","0","40"
"Andhra Pradesh","AP",2020-05-04,"1650","1093","524","33","67","0","36"
"Tamil Nadu","TN",2020-05-04,"3550","2110","1409","31","527","1","30"
"Rajasthan","RJ",2020-05-04,"3016","1585","1356","75","130","4","0"
"Gujarat","GJ",2020-05-04,"5804","4290","1195","319","376","29","153"
"Total","TT",2020-05-04,"44237","30485","12235","1513","1456","50","453"
"Tripura","TR",2020-05-03,"16","14","2","0","0","0","0"
"Puducherry","PY",2020-05-03,"12","6","6","0","0","0","0"
"Ladakh","LA",2020-05-03,"42","25","17","0","0","0","0"
"Andaman and Nicobar Islands","AN",2020-05-03,"33","1","32","0","0","0","0"
"Uttarakhand","UT",2020-05-03,"60","20","39","1","0","0","0"
"Jharkhand","JH",2020-05-03,"115","85","27","3","0","0","0"
"Uttar Pradesh","UP",2020-05-03,"2645","1848","754","43","0","0","0"
"Madhya Pradesh","MP",2020-05-03,"2837","1883","798","156","0","0","0"
"Delhi","DL",2020-05-03,"4549","3123","1362","64","0","0","0"
"Maharashtra","MH",2020-05-03,"12974","10311","2115","548","0","0","0"
"Meghalaya","ML",2020-05-01,"12","1","10","1","0","0","0"
"Assam","AS",2020-05-01,"43","9","33","1","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
