"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Chandigarh","CH",2020-04-27,"45","28","17","0","9","0","0"
"Uttarakhand","UT",2020-04-27,"51","18","33","0","0","0","7"
"Jharkhand","JH",2020-04-27,"98","82","13","3","16","0","0"
"Odisha","OR",2020-04-27,"111","73","37","1","8","0","2"
"Bihar","BR",2020-04-27,"345","287","56","2","68","0","0"
"Haryana","HR",2020-04-27,"301","85","213","3","5","0","14"
"Punjab","PB",2020-04-27,"330","213","98","19","8","1","14"
"Karnataka","KA",2020-04-27,"512","300","193","19","9","0","11"
"Jammu and Kashmir","JK",2020-04-27,"546","375","164","7","23","1","27"
"Telangana","TG",2020-04-27,"1003","646","332","25","2","0","16"
"Andhra Pradesh","AP",2020-04-27,"1177","911","235","31","80","0","4"
"Uttar Pradesh","UP",2020-04-27,"1986","1556","399","31","113","1","72"
"Tamil Nadu","TN",2020-04-27,"1937","812","1101","24","52","0","81"
"Madhya Pradesh","MP",2020-04-27,"2165","1698","357","110","75","7","55"
"Rajasthan","RJ",2020-04-27,"2262","1468","744","50","77","9","115"
"Gujarat","GJ",2020-04-27,"3548","2992","394","162","247","11","81"
"Maharashtra","MH",2020-04-27,"8590","6939","1282","369","522","27","94"
"Total","TT",2020-04-27,"29255","21188","7129","938","1365","57","606"
"Assam","AS",2020-04-26,"36","8","27","1","0","0","0"
"Himachal Pradesh","HP",2020-04-26,"40","16","22","2","0","0","0"
"Kerala","KL",2020-04-26,"482","123","355","4","13","0","13"
"West Bengal","WB",2020-04-26,"649","524","105","20","38","0","0"
"Puducherry","PY",2020-04-25,"8","4","4","0","0","0","0"
"Ladakh","LA",2020-04-25,"20","4","16","0","0","0","0"
"Andaman and Nicobar Islands","AN",2020-04-25,"33","22","11","0","0","0","0"
"Chhattisgarh","CT",2020-04-25,"37","5","32","0","0","0","0"
"Delhi","DL",2020-04-25,"2918","1987","877","54","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
