"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Tripura","TR",2020-05-02,"4","2","2","0","2","0","0"
"Ladakh","LA",2020-05-02,"23","6","17","0","1","0","0"
"Andaman and Nicobar Islands","AN",2020-05-02,"33","16","17","0","0","0","1"
"Uttarakhand","UT",2020-05-02,"59","21","37","1","2","0","0"
"Chandigarh","CH",2020-05-02,"94","75","19","0","6","0","1"
"Odisha","OR",2020-05-02,"156","99","56","1","2","0","1"
"Haryana","HR",2020-05-02,"369","124","241","4","12","0","0"
"Bihar","BR",2020-05-02,"478","376","98","4","12","1","0"
"Kerala","KL",2020-05-02,"500","96","400","4","2","0","8"
"Karnataka","KA",2020-05-02,"601","304","271","25","12","3","20"
"Jammu and Kashmir","JK",2020-05-02,"666","404","254","8","27","0","7"
"Andhra Pradesh","AP",2020-05-02,"1525","1051","441","33","62","0","38"
"Rajasthan","RJ",2020-05-02,"2720","1534","1121","65","54","3","5"
"Gujarat","GJ",2020-05-02,"4721","3750","735","236","0","0","0"
"Total","TT",2020-05-02,"37456","26121","10101","1230","194","7","81"
"Meghalaya","ML",2020-05-01,"12","1","10","1","0","0","0"
"Chhattisgarh","CT",2020-05-01,"43","7","36","0","0","0","0"
"Assam","AS",2020-05-01,"43","9","33","1","0","0","0"
"Himachal Pradesh","HP",2020-05-01,"40","5","30","2","0","0","0"
"Jharkhand","JH",2020-05-01,"113","89","21","3","0","0","0"
"Punjab","PB",2020-05-01,"585","457","108","20","0","0","0"
"West Bengal","WB",2020-05-01,"795","623","139","33","0","0","0"
"Telangana","TG",2020-05-01,"1044","552","464","28","0","0","0"
"Uttar Pradesh","UP",2020-05-01,"2328","1632","654","42","0","0","0"
"Tamil Nadu","TN",2020-05-01,"2526","1186","1312","28","0","0","0"
"Madhya Pradesh","MP",2020-05-01,"2715","2046","524","145","0","0","0"
"Delhi","DL",2020-05-01,"3738","2510","1167","61","0","0","0"
"Maharashtra","MH",2020-05-01,"11506","9142","1879","485","0","0","0"
"Puducherry","PY",2020-04-27,"8","3","5","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
