"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Himachal Pradesh","HP",2020-05-06,"43","3","34","3","1","0","0"
"Assam","AS",2020-05-06,"45","9","35","1","0","0","2"
"Chandigarh","CH",2020-05-06,"120","98","21","1","1","0","0"
"Jharkhand","JH",2020-05-06,"127","87","37","3","2","0","4"
"Odisha","OR",2020-05-06,"185","122","61","2","8","0","1"
"Kerala","KL",2020-05-06,"503","30","469","4","0","0","7"
"Bihar","BR",2020-05-06,"541","349","188","4","6","0","30"
"Haryana","HR",2020-05-06,"594","328","260","6","46","0","4"
"Karnataka","KA",2020-05-06,"693","309","354","29","20","0","23"
"Jammu and Kashmir","JK",2020-05-06,"775","445","322","8","34","0","2"
"West Bengal","WB",2020-05-06,"1456","1047","265","144","112","4","1"
"Punjab","PB",2020-05-06,"1526","1364","135","27","75","2","2"
"Andhra Pradesh","AP",2020-05-06,"1777","1012","729","36","60","2","140"
"Rajasthan","RJ",2020-05-06,"3240","1614","1536","90","82","1","11"
"Tamil Nadu","TN",2020-05-06,"4068","2550","1485","33","10","0","0"
"Delhi","DL",2020-05-06,"5104","3571","1468","65","0","1","0"
"Maharashtra","MH",2020-05-06,"16758","13322","2819","617","1233","0","0"
"Total","TT",2020-05-06,"51475","35253","14486","1732","2070","38","346"
"Dadra and Nagar Haveli and Daman and Diu","DN",2020-05-05,"1","1","0","0","0","0","0"
"Mizoram","MZ",2020-05-05,"1","0","1","0","0","0","0"
"Puducherry","PY",2020-05-05,"9","3","6","0","0","0","0"
"Tripura","TR",2020-05-05,"42","40","2","0","0","0","0"
"Chhattisgarh","CT",2020-05-05,"59","23","36","0","0","0","0"
"Uttarakhand","UT",2020-05-05,"61","21","39","1","0","0","0"
"Telangana","TG",2020-05-05,"1096","439","628","29","0","0","0"
"Uttar Pradesh","UP",2020-05-05,"2880","1837","987","56","0","0","0"
"Madhya Pradesh","MP",2020-05-05,"3049","1873","1000","176","0","0","0"
"Gujarat","GJ",2020-05-05,"6625","4729","1500","396","380","28","119"
"Andaman and Nicobar Islands","AN",2020-05-03,"33","1","32","0","0","0","0"
"Ladakh","LA",2020-05-03,"42","25","17","0","0","0","0"
"Meghalaya","ML",2020-05-01,"12","1","10","1","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
