"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Chandigarh","CH",2020-04-26,"36","19","17","0","8","0","2"
"Assam","AS",2020-04-26,"36","8","27","1","0","0","8"
"Himachal Pradesh","HP",2020-04-26,"40","16","22","2","0","0","0"
"Uttarakhand","UT",2020-04-26,"50","24","26","0","2","0","0"
"Jharkhand","JH",2020-04-26,"73","57","13","3","6","0","5"
"Bihar","BR",2020-04-26,"274","216","56","2","23","0","11"
"Punjab","PB",2020-04-26,"313","211","84","18","5","1","12"
"Kerala","KL",2020-04-26,"469","123","342","4","11","0","4"
"Jammu and Kashmir","JK",2020-04-26,"523","379","137","7","29","1","25"
"Karnataka","KA",2020-04-26,"503","302","182","19","3","1","24"
"West Bengal","WB",2020-04-26,"611","488","105","18","40","0","2"
"Andhra Pradesh","AP",2020-04-26,"1097","835","231","31","81","0","60"
"Uttar Pradesh","UP",2020-04-26,"1793","1503","261","29","0","2","0"
"Tamil Nadu","TN",2020-04-26,"1885","841","1020","24","64","1","60"
"Madhya Pradesh","MP",2020-04-26,"2090","1685","302","103","145","4","21"
"Rajasthan","RJ",2020-04-26,"2152","1603","513","36","69","2","0"
"Gujarat","GJ",2020-04-26,"3301","2886","282","133","230","0","0"
"Maharashtra","MH",2020-04-26,"8068","6608","1118","342","440","19","42"
"Total","TT",2020-04-26,"27442","20372","6214","856","1159","31","276"
"Puducherry","PY",2020-04-25,"8","4","4","0","0","0","0"
"Ladakh","LA",2020-04-25,"20","4","16","0","0","0","0"
"Andaman and Nicobar Islands","AN",2020-04-25,"33","22","11","0","0","0","0"
"Chhattisgarh","CT",2020-04-25,"37","5","32","0","0","0","0"
"Odisha","OR",2020-04-25,"103","68","34","1","3","0","0"
"Haryana","HR",2020-04-25,"287","93","191","3","0","0","0"
"Telangana","TG",2020-04-25,"990","658","307","25","0","0","0"
"Delhi","DL",2020-04-25,"2625","1702","869","54","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
