"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Assam","AS",2020-04-29,"38","8","29","1","0","0","2"
"Chandigarh","CH",2020-04-29,"67","50","17","0","11","0","0"
"Jharkhand","JH",2020-04-29,"105","83","19","3","0","0","0"
"Odisha","OR",2020-04-29,"122","82","39","1","4","0","1"
"Bihar","BR",2020-04-29,"383","317","64","2","17","0","0"
"Karnataka","KA",2020-04-29,"534","298","216","20","11","0","9"
"West Bengal","WB",2020-04-29,"725","584","119","22","28","0","10"
"Andhra Pradesh","AP",2020-04-29,"1332","1014","287","31","73","0","29"
"Tamil Nadu","TN",2020-04-29,"2058","905","1128","25","0","0","0"
"Rajasthan","RJ",2020-04-29,"2393","1560","781","52","29","0","11"
"Madhya Pradesh","MP",2020-04-29,"2481","1986","373","122","94","2","0"
"Maharashtra","MH",2020-04-29,"9318","7530","1388","400","0","0","0"
"Total","TT",2020-04-29,"31637","22808","7819","1010","277","2","72"
"Ladakh","LA",2020-04-28,"22","6","16","0","0","0","0"
"Andaman and Nicobar Islands","AN",2020-04-28,"33","18","15","0","0","0","0"
"Chhattisgarh","CT",2020-04-28,"38","4","34","0","0","0","0"
"Himachal Pradesh","HP",2020-04-28,"40","13","25","2","0","0","0"
"Uttarakhand","UT",2020-04-28,"54","20","34","0","0","0","0"
"Haryana","HR",2020-04-28,"308","81","224","3","0","0","0"
"Punjab","PB",2020-04-28,"342","222","101","19","0","0","0"
"Kerala","KL",2020-04-28,"496","123","369","4","10","0","10"
"Jammu and Kashmir","JK",2020-04-28,"565","381","176","8","0","0","0"
"Telangana","TG",2020-04-28,"1009","610","374","25","0","0","0"
"Uttar Pradesh","UP",2020-04-28,"2053","1557","462","34","0","0","0"
"Delhi","DL",2020-04-28,"3314","2182","1078","54","0","0","0"
"Gujarat","GJ",2020-04-28,"3774","3159","434","181","0","0","0"
"Puducherry","PY",2020-04-27,"8","3","5","0","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
