"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Puducherry","PY",2020-04-25,"8","4","4","0","1","0","0"
"Andaman and Nicobar Islands","AN",2020-04-25,"33","22","11","0","4","0","0"
"Ladakh","LA",2020-04-25,"20","4","16","0","2","0","0"
"Chandigarh","CH",2020-04-25,"28","13","15","0","1","0","0"
"Chhattisgarh","CT",2020-04-25,"37","5","32","0","1","0","2"
"Himachal Pradesh","HP",2020-04-25,"40","15","23","2","0","0","5"
"Jharkhand","JH",2020-04-25,"63","52","8","3","4","0","0"
"Uttarakhand","UT",2020-04-25,"48","22","26","0","0","0","1"
"Bihar","BR",2020-04-25,"242","195","45","2","19","0","1"
"Punjab","PB",2020-04-25,"308","219","72","17","10","0","2"
"Haryana","HR",2020-04-25,"287","93","191","3","12","0","5"
"West Bengal","WB",2020-04-25,"571","450","103","18","57","0","0"
"Jammu and Kashmir","JK",2020-04-25,"494","376","112","6","40","1","3"
"Kerala","KL",2020-04-25,"458","116","338","4","7","0","7"
"Karnataka","KA",2020-04-25,"500","324","158","18","26","0","6"
"Andhra Pradesh","AP",2020-04-25,"1016","814","171","31","61","2","26"
"Telangana","TG",2020-04-25,"990","658","307","25","7","0","16"
"Uttar Pradesh","UP",2020-04-25,"1793","1505","261","27","172","2","35"
"Madhya Pradesh","MP",2020-04-25,"1945","1565","281","99","99","7","71"
"Tamil Nadu","TN",2020-04-25,"1821","838","960","23","66","1","94"
"Rajasthan","RJ",2020-04-25,"2083","1557","493","33","49","1","0"
"Gujarat","GJ",2020-04-25,"3071","2656","282","133","256","6","17"
"Maharashtra","MH",2020-04-25,"7628","6229","1076","323","811","22","119"
"Total","TT",2020-04-25,"26153","19424","5906","823","1705","42","410"
"Odisha","OR",2020-04-24,"94","60","33","1","0","0","0"
"Delhi","DL",2020-04-24,"2514","1604","857","53","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Assam","AS",2020-04-20,"36","16","19","1","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
